epsilon,run,private_count,private_mean,error_count,error_mean
2.0,40,160.5178,29.3608,0.5177639974249928,0.19917588914374207
2.0,41,160.6437,29.8401,0.6437296813882654,0.2801481402084285
2.0,42,159.9869,29.5958,0.013108420028117962,0.035834905389755534
2.0,43,160.3771,29.4024,0.3771067768859382,0.15761170197938057
2.0,44,160.0026,29.526,0.002572683828219624,0.03397373704241957
2.0,45,159.3858,29.5138,0.614221580920713,0.04616866770844297
2.0,46,159.0037,29.1154,0.9962848183810422,0.4445658304931115
2.0,47,159.3459,29.951,0.654051153237333,0.39102092391257415
2.0,48,160.0522,29.9625,0.05215779299908263,0.40245459769862535
2.0,49,159.9275,29.4892,0.07251533882867989,0.07082916020440067
2.0,50,160.0062,29.5407,0.006179897108665955,0.019341567953084393
